cluster,id,local,old_nombre,new_nombre,old_precio_venta,new_precio_venta,old_precio_costo,new_precio_costo,old_categoria,new_categoria,old_medida,new_medida,old_estado,new_estado,old_color,new_color,old_material,new_material,old_fabricante,new_fabricante,old_codigo,new_codigo,old_descripcion,new_descripcion,is_combo
56,54,Estacion,termotanque 55l,termotanque 55l,297000.00,297000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,electrico,electrico,escorial,escorial,,,,,0
56,270,Vidriera,termotanque 55l,termotanque 55l,297000.00,297000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,electrico,electrico,escorial,escorial,,,,,0
57,204,Longchamps,placard corredizo,placard corredizo,122500.00,122500.0,0.00,0.0,dormitorio,dormitorio,"1,20m","1,20m",Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
57,350,Vidriera,placard corredizo,placard corredizo,122500.00,122500.0,0.00,0.0,dormitorio,dormitorio,"1,20m","1,20m",Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
58,250,Longchamps,termotanque 90l,termotanque 90l,320000.00,320000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,electrico,electrico,escorial,escorial,,,,,0
58,272,Vidriera,termotanque 90l,termotanque 90l,320000.00,320000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,electrico,electrico,escorial,escorial,,,,,0
59,219,Vidriera,colchon eco 17alto,colchon eco 17alto,86000.00,86000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,0
59,105,Longchamps,colchon eco 17alto,colchon eco 17alto,86000.00,86000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,,,espuma,espuma,taurus,taurus,,,,,0
59,230,Vidriera,colchon eco 17alto,colchon eco 17alto,86000.00,86000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,,,espuma,espuma,,taurus,,,,,0
60,418,Vidriera,combo taladro + moladora,combo taladro + moladora,100000.00,136000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,amarillo,amarillo,,,konan,konan,,,,,0
60,703,Longchamps,combo taladro+amoladora,combo taladro + moladora,136000.00,136000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,-,amarillo,,,konan,konan,,,,,0
